,case_id,needle_drop_counts,instrument_out_of_view_counts,economy_of_motion
0,caseid_000001,0,1,
1,caseid_000002,0,0,
2,caseid_000003,3,0,
3,caseid_000004,0,1,
4,caseid_000005,0,1,
5,caseid_000006,1,0,
6,caseid_000007,3,0,
7,caseid_000008,4,0,
8,caseid_000009,2,3,
9,caseid_000010,1,0,
10,caseid_000011,0,1,
11,caseid_000012,0,1,
12,caseid_000013,0,0,
13,caseid_000014,0,1,
14,caseid_000015,2,2,
15,caseid_000016,0,0,
16,caseid_000017,0,1,
17,caseid_000018,0,0,
18,caseid_000019,0,18,
19,caseid_000020,0,0,
20,caseid_000021,2,0,
21,caseid_000022,4,0,
22,caseid_000023,4,1,
23,caseid_000024,3,0,
24,caseid_000025,4,0,
25,caseid_000046,0,1,
26,caseid_000052,0,0,
27,caseid_000053,0,0,
28,caseid_000054,0,0,
29,caseid_000055,0,0,
30,caseid_000056,0,0,
31,caseid_000057,1,1,404.3
32,caseid_000058,1,0,352.4
33,caseid_000059,0,3,
34,caseid_000060,1,0,
35,caseid_000061,0,0,
36,caseid_000062,1,0,
37,caseid_000063,0,0,247.7
38,caseid_000064,1,0,
39,caseid_000065,1,1,
40,caseid_000067,1,2,
41,caseid_000161,1,2,88.8
42,caseid_000163,0,1,77.8
43,caseid_000168,5,7,323.4
44,caseid_000172,3,5,228.8
45,caseid_000174,0,1,95.7
46,caseid_000175,8,1,162.4
47,caseid_000177,7,3,207.6
